"Date","CTDChla_ugL_above","CTDChla_ugL","CTDChla_ugL_below","daily_EXOChla_ugL_1","daily_EXOBGAPC_ugL_1","GreenAlgae_ugL_above","GreenAlgae_ugL","GreenAlgae_ugL_below","Bluegreens_ugL_above","Bluegreens_ugL","Bluegreens_ugL_below","BrownAlgae_ugL_above","BrownAlgae_ugL","BrownAlgae_ugL_below","MixedAlgae_ugL_above","MixedAlgae_ugL","MixedAlgae_ugL_below","Temp_C","daily_AirTemp_C","daily_RH_percent","daily_Rain_Total_mm","daily_WindSpeed_Average_m_s","daily_ShortwaveRadiationDown_Average_W_m2","daily_InfraredRadiationDown_Average_W_m2","Flow_cms"
2014-05-05,0.6745,0.9284,1.5552,NA,NA,3.65,0,1.04,0.31,0,0.36,0.53,1.87,1.74,0,0.83,0,15.3713,NA,NA,NA,NA,NA,NA,0.0926957866980175
2014-05-06,0.5991,1.2855,1.706,NA,NA,2.19,2.24,0,0.34,0,0,0,0,1.86,0,0.68,0,14.8694,NA,NA,NA,NA,NA,NA,0.0943125068448838
2014-05-07,0.7935,0.98,0.9284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5915,NA,NA,NA,NA,NA,NA,0.0954584109493834
2014-05-08,0.5674,0.8213,1.2458,NA,NA,0.995,0,1.68,0,0,0.03,0.965,2.08,0.82,0.145,0.65,0,16.9945,NA,NA,NA,NA,NA,NA,0.0963211472178552
2014-05-09,0.7499,1.0117,1.2696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8538,NA,NA,NA,NA,NA,NA,0.0962398041518217
2014-05-10,2.5431,2.5629,2.6542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6781,NA,NA,NA,NA,NA,NA,0.0954204428946703
2014-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0944603316431343
2014-05-12,0.8847,1.1387,1.4759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.685,NA,NA,NA,NA,NA,NA,0.0948296740351929
2014-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0959370668191073
2014-05-14,0.7062,1.1307,1.2656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1739,NA,NA,NA,NA,NA,NA,0.0941190859508727
2014-05-15,2.7692,2.6502,2.3963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1752,NA,NA,NA,NA,NA,NA,0.107583632964616
2014-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109170641958607
2014-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0993163307746273
2014-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0969931707433267
2014-05-19,0.7499,1.2537,1.6425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8225,NA,NA,NA,NA,NA,NA,0.0959793518121853
2014-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0955312409211185
2014-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0966656917782998
2014-05-22,1.0038,1.702,2.1305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.413,NA,NA,NA,NA,NA,NA,0.0960244825886252
2014-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09457273719782
2014-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0940214486902301
2014-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0939752793174558
2014-05-26,0,1.8925,2.0829,NA,NA,0.8,1.53,2.73,0,0,0,1.18,0.98,1.33,0.3,0,0.93,19.9368,NA,NA,NA,NA,NA,NA,0.0954304705627502
2014-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0985876361957133
2014-05-28,1.1982,2.1107,1.6941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7989,NA,NA,NA,NA,NA,NA,0.10001713044818
2014-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0987827183285382
2014-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0992090968221412
2014-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0994753562977002
2014-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0980332174968182
2014-06-02,2.0472,3.8563,3.6698,NA,NA,2.83,1.68,2.61,0,0,0.27,2.61,3.24,5.68,0.32,0,0,19.962,NA,NA,NA,NA,NA,NA,0.0994863108708914
2014-06-03,1.3172,1.4441,2.3368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4293,NA,NA,NA,NA,NA,NA,0.0999876658889865
